engineer,date,size,helper_id,helper,species,order,con,inj,g0,g0t,X,Xt,Xnt,surv,inj.lambda,g0.lambda
FH,NA,10640,3081,mRNA,ae,diptera,4781,730,NA,20,4,NA,NA,NA,0.005479452,NA
FH,NA,10061,3081,mRNA,ae,diptera,4782,1375,NA,0,0,NA,NA,NA,0,NA
PG,NA,10061,3081,mRNA,ae,diptera,4782,860,67,0,0,NA,NA,0.077906977,0,0
FH,NA,14343,3081,mRNA,ae,diptera,4784,848,NA,0,3,NA,NA,NA,0.003537736,NA
PG,NA,14343,3081,mRNA,ae,diptera,4784,633,49,0,5,NA,NA,0.077409163,0.007898894,0.102040816
FH,NA,14674,3081,mRNA,ae,diptera,4785,985,NA,NA,1,NA,NA,NA,0.001015228,NA
PG,NA,12741,3081,mRNA,ae,diptera,5034,912,61,17,10,NA,NA,0.066885965,0.010964912,0.163934426
PG,NA,12741,3081,mRNA,ae,diptera,5034,783,24,NA,4,NA,NA,0.030651341,0.005108557,0.166666667
PG,NA,12741,3081,mRNA,ae,diptera,5034,770,27,NA,4,NA,NA,0.035064935,0.005194805,0.148148148
PG,NA,NA,3081,mRNA,ae,diptera,5055,1577,NA,NA,NA,NA,NA,NA,NA,NA
KM,NA,7207,NA,both,aa,diptera,3860,1272,550,NA,6,NA,NA,0.432389937,0.004716981,0.010909091
KM,NA,12672,NA,both,aa,diptera,4730,5015,122,NA,12,NA,NA,0.024327019,0.002392822,0.098360656
KM,NA,13255,NA,both,aa,diptera,4588,3762,216,NA,26,NA,NA,0.057416268,0.006911217,0.12037037
KM,NA,12937,NA,both,aa,diptera,4583,1419,342,NA,9,NA,NA,0.241014799,0.006342495,0.026315789
KM,NA,14662,NA,both,aa,diptera,4222,9039,2240,NA,7,NA,NA,0.247815024,0.000774422,0.003125
KM,NA,18500,NA,both,aa,diptera,3688,9468,1130,NA,5,NA,NA,0.119349387,0.000528095,0.004424779
KM,NA,10377,NA,both,aa,diptera,4351,2717,624,NA,6,NA,NA,0.229665072,0.002208318,0.009615385
MC,1,NA,NA,mRNA,ae,diptera,4708,1140,86,NA,13,NA,NA,0.075438596,0.011403509,0.151162791
MC,2,NA,NA,mRNA,ae,diptera,4709,780,90,NA,14,NA,NA,0.115384615,0.017948718,0.155555556
MC,3,NA,NA,mRNA,ae,diptera,4732,1100,133,NA,5,NA,NA,0.120909091,0.004545455,0.037593985
MC,4,NA,NA,mRNA,ae,diptera,4787,1250,154,NA,10,NA,NA,0.1232,0.008,0.064935065
MC,5,15953,NA,mRNA,ae,diptera,4797,1574,107,NA,6,NA,NA,0.06797967,0.003811944,0.056074766
MC,6,16782,NA,mRNA,ae,diptera,4786,3010,181,NA,3,NA,NA,0.06013289,0.000996678,0.016574586
MC,7,11052,NA,mRNA,ae,diptera,5024,1492,46,NA,6,NA,NA,0.030831099,0.004021448,0.130434783
MC,8,NA,NA,mRNA,ae,diptera,5055,1625,66,NA,7,NA,NA,0.040615385,0.004307692,0.106060606
MC,9,11052,NA,mRNA,aa,diptera,5024,2584,76,NA,7,NA,NA,0.029411765,0.002708978,0.092105263
MC,10,11067,NA,mRNA,aa,diptera,5048,118,8,NA,3,NA,NA,0.06779661,0.025423729,0.375
RT,1,15728,265,DNA,mf,diptera,5036,1186,391,NA,17,NA,NA,0.329679595,0.014333895,0.043478261
JK,1,15421,NA,jumpstarter,ds,diptera,5075,1044,45,NA,0,NA,NA,0.043103448,0,0
JK,2,18430,265,DNA,ds,diptera,5082,2927,164,NA,7,NA,NA,0.056030065,0.002391527,0.042682927
MG,6,13347,3081,mRNA,dbm,lepidoptera,5116,1747,681,NA,2,NA,NA,0.389811105,0.00114482,0.002936858
MG,7,9014,3081,mRNA,tc,coleoptera,5118,1327,200,NA,2,NA,NA,0.150715901,0.001507159,0.01
MG,8,13674,3081,mRNA,dbm,lepidoptera,5133,1934,466,NA,2,NA,NA,0.240951396,0.001034126,0.004291845
MG,9,8839,3081,mRNA,tc,coleoptera,5145,918,108,NA,9,NA,NA,0.117647059,0.009803922,0.083333333
